DiabetesSTDEV,Lila 1 and 10,pop 2010,Urban,LowIncomeTracts,Average of percent,Average of lower confidence limit,Average of upper confidence limit,Statelist,CONCAT
1,0,15994,0,1,13.2375,10.3625,16.7375,11,453
0,0,805321,1,0,7.95,6.6125,9.45,11,454
0,0,43041,0,1,9.7875,7.325,12.675,11,455
0,0,179684,1,0,9.5625,7.525,11.85,11,456
1,1,9429,1,1,14.15,10.975,18.025,11,457
0,0,28780,0,1,10.6,7.8625,13.9625,11,458
1,0,32024,0,0,11.7375,9.0875,14.9375,11,459
0,0,25213,0,1,11.075,8.475,14.25,11,460
0,0,11834,0,1,10.525,7.6875,14.05,11,461
0,0,203922,1,0,9.4125,7.475,11.6625,11,462
0,0,139900,1,0,10.7625,8.65,13.2,11,463
0,0,9538,0,1,11.15,8.45,14.4375,11,464
0,0,60485,0,0,9.6875,7.425,12.375,11,465
0,0,13900,0,1,10.8625,8.2125,14.1,11,466
0,0,15068,0,1,11.1625,8.3875,14.575,11,467
1,0,16930,0,1,13.1875,10.375,16.6,11,468
